,attraction_name,URL,Ratings,No_of_Reviews,Price
42,Kennedy Space Center and Everglades Airboat Safari from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447944-Kennedy_Space_Center_and_Everglades_Airboat_Safari_from_Orlando-Kissimmee_Florida.html,4.0 of 5 bubbles,17 reviews,193.99
43,Crystal River Manatee Swim or Boat Ride from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11448571-Crystal_River_Manatee_Swim_or_Boat_Ride_from_Orlando-Kissimmee_Florida.html,5.0 of 5 bubbles,109 reviews,98.99
44,Clearwater Beach Dolphin Speedboat Adventure with Lunch & Transport From Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d21378221-Clearwater_Beach_Dolphin_Speedboat_Adventure_with_Lunch_Transport_From_Orlando-Kiss.html,4.0 of 5 bubbles,85 reviews,145.00
45,The Wheel at ICON Park,https://www.tripadvisor.in/AttractionProductReview-g34515-d15040512-The_Wheel_at_ICON_Park-Orlando_Florida.html,4.5 of 5 bubbles,57 reviews,30.76
46,Orlando Indoor Skydiving Experience with 2 Flights & Personalized Certificate,https://www.tripadvisor.in/AttractionProductReview-g34515-d11480720-Orlando_Indoor_Skydiving_Experience_with_2_Flights_Personalized_Certificate-Orlando.html,5.0 of 5 bubbles,768 reviews,90.52
47,"Florida Manatee Adventure, Everglades Style Airboat, Wildlife Park & Transport",https://www.tripadvisor.in/AttractionProductReview-g34352-d21378219-Florida_Manatee_Adventure_Everglades_Style_Airboat_Wildlife_Park_Transport-Kissimme.html,4.5 of 5 bubbles,69 reviews,189.00
48,Crystal River Tour with Manatee Swim and Everglades Airboat Ride,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447945-Crystal_River_Tour_with_Manatee_Swim_and_Everglades_Airboat_Ride-Kissimmee_Florida.html,4.5 of 5 bubbles,161 reviews,148.99
49,SEA LIFE Orlando Aquarium,https://www.tripadvisor.in/AttractionProductReview-g34515-d12165118-SEA_LIFE_Orlando_Aquarium-Orlando_Florida.html,4.5 of 5 bubbles,33 reviews,34.03
50,Kennedy Space Center and Everglades Airboat Safari from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447944-Kennedy_Space_Center_and_Everglades_Airboat_Safari_from_Orlando-Kissimmee_Florida.html,4.0 of 5 bubbles,17 reviews,193.99
51,Crystal River Manatee Swim or Boat Ride from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11448571-Crystal_River_Manatee_Swim_or_Boat_Ride_from_Orlando-Kissimmee_Florida.html,4.0 of 5 bubbles,23 reviews,98.99
52,Clearwater Beach Day Trip from Orlando with Dolphin Encounter Cruise,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447941-Clearwater_Beach_Day_Trip_from_Orlando_with_Dolphin_Encounter_Cruise-Kissimmee_Flor.html,4.5 of 5 bubbles,16 reviews,98.99
53,"Go City: Orlando Explorer Pass - Choose 2, 3, 4 or 5 Attractions",https://www.tripadvisor.in/AttractionProductReview-g34352-d12181682-Go_City_Orlando_Explorer_Pass_Choose_2_3_4_or_5_Attractions-Kissimmee_Florida.html,4.5 of 5 bubbles,42 reviews,54.00
54,Central Florida Everglades Airboat Tour from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34127-d11448562-Central_Florida_Everglades_Airboat_Tour_from_Orlando-Celebration_Orlando_Florida.html,5.0 of 5 bubbles,3 reviews,88.99
55,Rock Hard Revue: VIP Seating,https://www.tripadvisor.in/AttractionProductReview-g34515-d19758044-Rock_Hard_Revue_VIP_Seating-Orlando_Florida.html,5.0 of 5 bubbles,2 reviews,50.00
56,Orlando Magic NBA Basketball Tickets,https://www.tripadvisor.in/AttractionProductReview-g34515-d23316481-Orlando_Magic_NBA_Basketball_Tickets-Orlando_Florida.html,3.0 of 5 bubbles,73 reviews,18.00
57,Drawn to Life presented by Cirque du Soleil and Disney,https://www.tripadvisor.in/AttractionProductReview-g34515-d23688206-Drawn_to_Life_presented_by_Cirque_du_Soleil_and_Disney-Orlando_Florida.html,4.5 of 5 bubbles,115 reviews,109.99
58,Singing your Dreams - Dinner Show in Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d23516377-Singing_your_Dreams_Dinner_Show_in_Orlando-Orlando_Florida.html,5.0 of 5 bubbles,1 review,59.00
59,"The Outta Control Magic Comedy Dinner Show, Orlando",https://www.tripadvisor.in/AttractionProductReview-g34515-d12165000-The_Outta_Control_Magic_Comedy_Dinner_Show_Orlando-Orlando_Florida.html,4.0 of 5 bubbles,1 review,34.07
60,Rock Hard Revue: Premier Table,https://www.tripadvisor.in/AttractionProductReview-g34515-d21036011-Rock_Hard_Revue_Premier_Table-Orlando_Florida.html,5.0 of 5 bubbles,50 reviews,390.00
61,Exotic Car rental in Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d23858964-Exotic_Car_rental_in_Orlando-Orlando_Florida.html,5.0 of 5 bubbles,768 reviews,499.00
62,NASCAR Daytona 500 at Daytona International Speedway with Transportation,https://www.tripadvisor.in/AttractionProductReview-g34352-d15142483-NASCAR_Daytona_500_at_Daytona_International_Speedway_with_Transportation-Kissimmee_.html,4.5 of 5 bubbles,168 reviews,89.00
63,NASCAR Coke Zero 400 Race Day Packages,https://www.tripadvisor.in/AttractionProductReview-g34515-d13950309-NASCAR_Coke_Zero_400_Race_Day_Packages-Orlando_Florida.html,5.0 of 5 bubbles,22 reviews,89.00
64,Private Helicopter Tour over Orlando's Theme Parks,https://www.tripadvisor.in/AttractionProductReview-g34352-d12033177-Private_Helicopter_Tour_over_Orlando_s_Theme_Parks-Kissimmee_Florida.html,4.5 of 5 bubbles,69 reviews,65.00
65,"Florida Manatee Adventure, Everglades Style Airboat, Wildlife Park & Transport",https://www.tripadvisor.in/AttractionProductReview-g34352-d21378219-Florida_Manatee_Adventure_Everglades_Style_Airboat_Wildlife_Park_Transport-Kissimme.html,5.0 of 5 bubbles,24 reviews,189.00
66,Kennedy Space Center Day Trip with Transport from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447943-Kennedy_Space_Center_Day_Trip_with_Transport_from_Orlando-Kissimmee_Florida.html,5.0 of 5 bubbles,335 reviews,69.99
67,Helicopter Night Tour Over Orlando's Theme Parks,https://www.tripadvisor.in/AttractionProductReview-g34352-d12555062-Helicopter_Night_Tour_Over_Orlando_s_Theme_Parks-Kissimmee_Florida.html,5.0 of 5 bubbles,15 reviews,125.00
68,Crystal River Tour with Manatee Swim and Everglades Airboat Ride,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447945-Crystal_River_Tour_with_Manatee_Swim_and_Everglades_Airboat_Ride-Kissimmee_Florida.html,4.5 of 5 bubbles,33 reviews,148.99
69,Clearwater Beach Day Trip from Orlando with Optional Upgrades,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447937-Clearwater_Beach_Day_Trip_from_Orlando_with_Optional_Upgrades-Kissimmee_Florida.html,4.5 of 5 bubbles,23 reviews,78.99
70,Kennedy Space Center Adventure with Transport from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d21380882-Kennedy_Space_Center_Adventure_with_Transport_from_Orlando-Kissimmee_Florida.html,5.0 of 5 bubbles,33 reviews,85.00
71,Clearwater Beach Day Trip from Orlando with Sea Screamer Boat Ride,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447950-Clearwater_Beach_Day_Trip_from_Orlando_with_Sea_Screamer_Boat_Ride-Kissimmee_Florid.html,5.0 of 5 bubbles,15 reviews,98.99
72,Kennedy Space Center and Everglades Airboat Safari from Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d11447944-Kennedy_Space_Center_and_Everglades_Airboat_Safari_from_Orlando-Kissimmee_Florida.html,5.0 of 5 bubbles,7 reviews,193.99
73,Kennedy Space Center Express,https://www.tripadvisor.in/AttractionProductReview-g34515-d15302524-Kennedy_Space_Center_Express-Orlando_Florida.html,5.0 of 5 bubbles,8 reviews,156.99
74,Night Glow Paddleboard or Kayak in Paradise,https://www.tripadvisor.in/AttractionProductReview-g34515-d15358486-Night_Glow_Paddleboard_or_Kayak_in_Paradise-Orlando_Florida.html,5.0 of 5 bubbles,423 reviews,75.00
75,Guided Paddleboard or Kayak Tour in Orlando Urban Paradise,https://www.tripadvisor.in/AttractionProductReview-g34515-d17162180-Guided_Paddleboard_or_Kayak_Tour_in_Orlando_Urban_Paradise-Orlando_Florida.html,5.0 of 5 bubbles,100 reviews,53.00
76,Sunset Paddle Board or Kayak in Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d23759881-Sunset_Paddle_Board_or_Kayak_in_Orlando-Orlando_Florida.html,5.0 of 5 bubbles,109 reviews,53.00
77,Paddle board or kayak with Bunny & Pups in Paradise,https://www.tripadvisor.in/AttractionProductReview-g34515-d19877569-Paddle_board_or_kayak_with_Bunny_Pups_in_Paradise-Orlando_Florida.html,5.0 of 5 bubbles,16 reviews,53.00
78,2-Hour Glass Bottom Guided Kayak Eco Tour in Rainbow Springs (Small-Group),https://www.tripadvisor.in/AttractionProductReview-g34515-d17716239-2_Hour_Glass_Bottom_Guided_Kayak_Eco_Tour_in_Rainbow_Springs_Small_Group-Orlando_Fl.html,5.0 of 5 bubbles,6 reviews,69.00
79,Wekiva River Guided Kayak Tour,https://www.tripadvisor.in/AttractionProductReview-g34615-d11991892-Wekiva_River_Guided_Kayak_Tour-Sanford_Florida.html,5.0 of 5 bubbles,14 reviews,85.60
80,Clearwater Beach Dolphin Speedboat Adventure with Lunch & Transport From Orlando,https://www.tripadvisor.in/AttractionProductReview-g34352-d21378221-Clearwater_Beach_Dolphin_Speedboat_Adventure_with_Lunch_Transport_From_Orlando-Kiss.html,,,145.00
81,4-Hour (SUP) Paddleboard & Kayak Rental in Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d17305191-4_Hour_SUP_Paddleboard_Kayak_Rental_in_Orlando-Orlando_Florida.html,,,35.00
82,Half-Day Shingle Creek Guided Kayak Tour with Lunch and Roundtrip Transport,https://www.tripadvisor.in/AttractionProductReview-g34352-d23316411-Half_Day_Shingle_Creek_Guided_Kayak_Tour_with_Lunch_and_Roundtrip_Transport-Kissimm.html,,,139.00
83,Jet Ski Rentals from Lake Buena Vista Area Orlando,https://www.tripadvisor.in/AttractionProductReview-g34515-d12472708-Jet_Ski_Rentals_from_Lake_Buena_Vista_Area_Orlando-Orlando_Florida.html,,,79.00
